file order;h;V;C;x;y;Y;X_C;Y_C;Z_C;X_D65;Y_D65;Z_D65;R;G;B;dR;dG;dB
1;10RP;1;2;0,3629;0,271;1,21;0,0162;0,0121;0,0163;0,0158;0,012;0,0151;0,1725;0,0855;0,1249;44;22;32
2;10RP;1;4;0,392;0,2423;1,21;0,0196;0,0121;0,0183;0,0191;0,012;0,0168;0,2066;0,0578;0,1353;53;15;35
3;10RP;1;6;0,4151;0,2169;1,21;0,0232;0,0121;0,0205;0,0227;0,012;0,0189;0,2367;0,01;0,1465;60;3;37
7;2.5R;1;2;0,3768;0,2816;1,21;0,0162;0,0121;0,0147;0,0158;0,0121;0,0135;0,1755;0,0851;0,1161;45;22;30
8;2.5R;1;4;0,4166;0,2569;1,21;0,0196;0,0121;0,0154;0,0192;0,012;0,0142;0,2114;0,0561;0,1209;54;14;31
9;2.5R;1;6;0,4515;0,2329;1,21;0,0235;0,0121;0,0164;0,023;0,012;0,0151;0,2446;-0,0016;0,1273;62;0;32
12;5R;1;2;0,3908;0,2929;1,21;0,0161;0,0121;0,0131;0,0158;0,0121;0,012;0,1778;0,0849;0,1069;45;22;27
13;5R;1;4;0,442;0,2728;1,21;0,0196;0,0121;0,0127;0,0192;0,012;0,0116;0,2153;0,0551;0,1057;55;14;27
17;7.5R;1;2;0,402;0,3034;1,21;0,016;0,0121;0,0117;0,0157;0,0121;0,0108;0,1789;0,0853;0,0988;46;22;25
18;7.5R;1;4;0,466;0,2888;1,21;0,0195;0,0121;0,0103;0,0192;0,012;0,0095;0,2179;0,0549;0,0904;56;14;23
22;10R;1;2;0,4128;0,3154;1,21;0,0158;0,0121;0,0104;0,0155;0,0121;0,0096;0,1789;0,0863;0,09;46;22;23
23;10R;1;4;0,4933;0,3068;1,21;0,0195;0,0121;0,0079;0,0192;0,0121;0,0072;0,2207;0,0546;0,0725;56;14;18
27;2.5YR;1;2;0,4258;0,3344;1,21;0,0154;0,0121;0,0087;0,0151;0,0121;0,008;0,177;0,0889;0,0769;45;23;20
28;2.5YR;1;4;0,5311;0,3371;1,21;0,0191;0,0121;0,0047;0,0188;0,0121;0,0043;0,2215;0,0572;0,041;56;15;10
29;2.5YR;1;6;0,6048;0,327;1,21;0,0224;0,0121;0,0025;0,0221;0,0121;0,0023;0,253;0,0104;0,0093;65;3;2
31;5YR;1;2;0,4377;0,358;1,21;0,0148;0,0121;0,0069;0,0145;0,0121;0,0063;0,1728;0,0926;0,0615;44;24;16
33;7.5YR;1;2;0,443;0,3775;1,21;0,0142;0,0121;0,0058;0,0139;0,0121;0,0053;0,1676;0,0962;0,0495;43;25;13
34;10YR;1;2;0,4446;0,3982;1,21;0,0135;0,0121;0,0048;0,0133;0,0121;0,0044;0,1607;0,1004;0,0375;41;26;10
35;2.5Y;1;2;0,4362;0,4177;1,21;0,0126;0,0121;0,0042;0,0124;0,0121;0,0039;0,1498;0,1057;0,0292;38;27;7
36;5Y;1;2;0,423;0,4265;1,21;0,012;0,0121;0,0043;0,0118;0,0121;0,0039;0,1405;0,1095;0,0292;36;28;7
37;7.5Y;1;2;0,4042;0,4287;1,21;0,0114;0,0121;0,0047;0,0112;0,0122;0,0043;0,1301;0,113;0,035;33;29;9
38;10Y;1;2;0,3802;0,4212;1,21;0,0109;0,0121;0,0057;0,0107;0,0122;0,0052;0,1193;0,1159;0,0468;30;30;12
39;2.5GY;1;2;0,354;0,4088;1,21;0,0105;0,0121;0,007;0,0102;0,0121;0,0065;0,1072;0,1187;0,0602;27;30;15
40;5GY;1;2;0,3359;0,3982;1,21;0,0102;0,0121;0,0081;0,0099;0,0121;0,0074;0,0984;0,1204;0,0696;25;31;18
42;7.5GY;1;2;0,3154;0,384;1,21;0,0099;0,0121;0,0095;0,0096;0,0121;0,0087;0,0877;0,1221;0,0806;22;31;21
43;7.5GY;1;4;0,3133;0,538;1,21;0,007;0,0121;0,0033;0,0068;0,0122;0,0031;0,0217;0,1353;0,0075;6;35;2
44;10GY;1;2;0,3006;0,372;1,21;0,0098;0,0121;0,0106;0,0095;0,0121;0,0098;0,0794;0,1232;0,0891;20;31;23
47;2.5G;1;2;0,291;0,3634;1,21;0,0097;0,0121;0,0115;0,0094;0,0121;0,0106;0,0736;0,1238;0,0948;19;32;24
51;5G;1;2;0,2833;0,3564;1,21;0,0096;0,0121;0,0122;0,0093;0,0121;0,0113;0,0686;0,1244;0,0995;17;32;25
55;7.5G;1;2;0,2758;0,3484;1,21;0,0096;0,0121;0,0131;0,0092;0,0121;0,012;0,0637;0,1247;0,1045;16;32;27
59;10G;1;2;0,2689;0,3407;1,21;0,0096;0,0121;0,0139;0,0092;0,0121;0,0128;0,059;0,1251;0,1093;15;32;28
63;2.5BG;1;2;0,26;0,3289;1,21;0,0096;0,0121;0,0151;0,0092;0,0121;0,0139;0,0531;0,1253;0,1164;14;32;30
67;5BG;1;2;0,25;0,3141;1,21;0,0096;0,0121;0,0168;0,0092;0,0121;0,0155;0,0463;0,1253;0,1252;12;32;32
70;7.5BG;1;2;0,243;0,3023;1,21;0,0097;0,0121;0,0182;0,0093;0,0121;0,0168;0,0416;0,1251;0,1322;11;32;34
73;10BG;1;2;0,2362;0,2882;1,21;0,0099;0,0121;0,02;0,0095;0,0121;0,0184;0,0384;0,1245;0,1405;10;32;36
76;2.5B;1;2;0,2322;0,2781;1,21;0,0101;0,0121;0,0213;0,0097;0,0121;0,0196;0,0377;0,1238;0,1465;10;32;37
79;5B;1;2;0,2291;0,2677;1,21;0,0104;0,0121;0,0227;0,0099;0,0121;0,0209;0,0391;0,1228;0,1527;10;31;39
82;7.5B;1;2;0,2291;0,2579;1,21;0,0107;0,0121;0,0241;0,0103;0,0121;0,0222;0,0468;0,121;0,1582;12;31;40
86;10B;1;2;0,2309;0,2491;1,21;0,0112;0,0121;0,0253;0,0107;0,0121;0,0233;0,0569;0,1188;0,163;15;30;42
90;2.5PB;1;2;0,236;0,242;1,21;0,0118;0,0121;0,0261;0,0113;0,012;0,024;0,0707;0,1158;0,1664;18;30;42
94;5PB;1;2;0,2427;0,2368;1,21;0,0124;0,0121;0,0266;0,0119;0,012;0,0245;0,0844;0,1126;0,1684;22;29;43
95;5PB;1;4;0,2012;0,1867;1,21;0,013;0,0121;0,0397;0,0123;0,012;0,0365;0,0437;0,112;0,2117;11;29;54
99;7.5PB;1;2;0,2547;0,231;1,21;0,0133;0,0121;0,0269;0,0128;0,012;0,0248;0,104;0,1072;0,1699;27;27;43
100;7.5PB;1;4;0,2232;0,1821;1,21;0,0148;0,0121;0,0395;0,0141;0,0119;0,0364;0,0952;0,1013;0,2116;24;26;54
101;7.5PB;1;6;0,2;0,1422;1,21;0,017;0,0121;0,056;0,0161;0,0118;0,0516;0,0881;0,0915;0,2552;22;23;65
102;7.5PB;1;8;0,1872;0,1141;1,21;0,0199;0,0121;0,0741;0,0187;0,0117;0,0683;0,09;0,0762;0,2951;23;19;75
103;7.5PB;1;10;0,1804;0,095;1,21;0,023;0,0121;0,0923;0,0216;0,0116;0,0851;0,098;0,0549;0,3295;25;14;84
104;7.5PB;1;12;0,1763;0,0804;1,21;0,0265;0,0121;0,1119;0,0249;0,0115;0,1031;0,1097;0,019;0,3624;28;5;92
118;10PB;1;2;0,2677;0,228;1,21;0,0142;0,0121;0,0268;0,0137;0,012;0,0247;0,1208;0,1018;0,1694;31;26;43
119;10PB;1;4;0,2459;0,1828;1,21;0,0163;0,0121;0,0378;0,0156;0,0119;0,0348;0,1275;0,0913;0,2068;33;23;53
120;10PB;1;6;0,229;0,147;1,21;0,0188;0,0121;0,0514;0,018;0,0119;0,0473;0,1358;0,0765;0,2443;35;20;62
121;10PB;1;8;0,219;0,1228;1,21;0,0216;0,0121;0,0649;0,0205;0,0118;0,0598;0,146;0,0574;0,276;37;15;70
122;10PB;1;10;0,212;0,1029;1,21;0,0249;0,0121;0,0806;0,0237;0,0117;0,0742;0,1594;0,0239;0,3083;41;6;79
133;2.5P;1;2;0,2808;0,2296;1,21;0,0148;0,0121;0,0258;0,0143;0,012;0,0238;0,1331;0,0978;0,1659;34;25;42
134;2.5P;1;4;0,2668;0,1874;1,21;0,0172;0,0121;0,0352;0,0166;0,0119;0,0325;0,1481;0,0838;0,199;38;21;51
135;2.5P;1;6;0,257;0,1559;1,21;0,0199;0,0121;0,0456;0,0192;0,0119;0,042;0,1638;0,0652;0,2294;42;17;58
136;2.5P;1;8;0,2496;0,1303;1,21;0,0232;0,0121;0,0576;0,0222;0,0118;0,0531;0,181;0,0355;0,2599;46;9;66
146;5P;1;2;0,2936;0,233;1,21;0,0152;0,0121;0,0246;0,0147;0,012;0,0226;0,1429;0,0946;0,1613;36;24;41
147;5P;1;4;0,2854;0,1927;1,21;0,0179;0,0121;0,0328;0,0173;0,012;0,0302;0,1627;0,0777;0,1912;41;20;49
148;5P;1;6;0,2794;0,1628;1,21;0,0208;0,0121;0,0415;0,02;0,0119;0,0382;0,1814;0,0556;0,2182;46;14;56
149;5P;1;8;0,2742;0,1375;1,21;0,0241;0,0121;0,0518;0,0233;0,0118;0,0477;0,2011;0,0168;0,246;51;4;63
157;7.5P;1;2;0,303;0,2361;1,21;0,0155;0,0121;0,0236;0,015;0,012;0,0218;0,1491;0,0924;0,1575;38;24;40
158;7.5P;1;4;0,2991;0,1974;1,21;0,0183;0,0121;0,0309;0,0177;0,012;0,0284;0,1716;0,0737;0,1849;44;19;47
159;7.5P;1;6;0,296;0,1682;1,21;0,0213;0,0121;0,0385;0,0206;0,0119;0,0355;0,1923;0,0487;0,2098;49;12;53
167;10P;1;2;0,3132;0,2404;1,21;0,0158;0,0121;0,0225;0,0153;0,012;0,0207;0,1548;0,0904;0,1529;39;23;39
168;10P;1;4;0,3132;0,2032;1,21;0,0187;0,0121;0,0288;0,0181;0,012;0,0265;0,1792;0,0704;0,1778;46;18;45
169;10P;1;6;0,3126;0,1737;1,21;0,0218;0,0121;0,0358;0,0211;0,0119;0,033;0,2019;0,0418;0,2016;51;11;51
176;2.5RP;1;2;0,324;0,2459;1,21;0,0159;0,0121;0,0212;0,0155;0,012;0,0195;0,1599;0,0888;0,1474;41;23;38
177;2.5RP;1;4;0,329;0,2095;1,21;0,019;0,0121;0,0267;0,0185;0,012;0,0246;0,187;0,0665;0,1701;48;17;43
178;2.5RP;1;6;0,3321;0,1811;1,21;0,0222;0,0121;0,0325;0,0216;0,0119;0,03;0,211;0,0346;0,1912;54;9;49
184;5RP;1;2;0,3378;0,2542;1,21;0,0161;0,0121;0,0194;0,0156;0,012;0,0179;0,1651;0,0873;0,1397;42;22;36
185;5RP;1;4;0,3503;0,2196;1,21;0,0193;0,0121;0,0237;0,0188;0,012;0,0218;0,1952;0,0626;0,1587;50;16;40
186;5RP;1;6;0,3588;0,192;1,21;0,0226;0,0121;0,0283;0,022;0,0119;0,0261;0,2212;0,0258;0,1769;56;7;45
191;7.5RP;1;2;0,3498;0,2617;1,21;0,0162;0,0121;0,018;0,0158;0,012;0,0165;0,1691;0,0862;0,1329;43;22;34
192;7.5RP;1;4;0,3705;0,23;1,21;0,0195;0,0121;0,021;0,019;0,012;0,0194;0,2015;0,0598;0,1476;51;15;38
193;7.5RP;1;6;0,3865;0,2036;1,21;0,023;0,0121;0,0244;0,0225;0,0119;0,0224;0,2299;0,0169;0,1622;59;4;41
197;10RP;2;2;0,3532;0,2957;3,126;0,0373;0,0313;0,0371;0,0364;0,0312;0,0342;0,255;0,1707;0,1957;65;44;50
198;10RP;2;4;0,385;0,2778;3,126;0,0433;0,0313;0,0379;0,0423;0,0311;0,0349;0,2973;0,1466;0,1994;76;37;51
199;10RP;2;6;0,4139;0,2608;3,126;0,0496;0,0313;0,039;0,0486;0,0311;0,0359;0,3351;0,116;0,2038;85;30;52
200;10RP;2;8;0,4428;0,2419;3,126;0,0572;0,0313;0,0407;0,0562;0,031;0,0375;0,3745;0,0635;0,2105;95;16;54
204;2.5R;2;2;0,3614;0,3033;3,126;0,0372;0,0313;0,0346;0,0363;0,0312;0,0318;0,2573;0,1706;0,1873;66;44;48
205;2.5R;2;4;0,4021;0,29;3,126;0,0433;0,0313;0,0332;0,0424;0,0312;0,0305;0,3022;0,1456;0,1839;77;37;47
206;2.5R;2;6;0,439;0,276;3,126;0,0497;0,0313;0,0323;0,0488;0,0311;0,0297;0,3415;0,1138;0,182;87;29;46
207;2.5R;2;8;0,4776;0,2593;3,126;0,0576;0,0313;0,0317;0,0566;0,031;0,0292;0,3831;0,0565;0,1817;98;14;46
211;5R;2;2;0,3692;0,3111;3,126;0,0371;0,0313;0,0321;0,0362;0,0312;0,0296;0,259;0,1708;0,1789;66;44;46
212;5R;2;4;0,4184;0,3032;3,126;0,0431;0,0313;0,0287;0,0423;0,0312;0,0264;0,3053;0,1457;0,1677;78;37;43
213;5R;2;6;0,4642;0,2934;3,126;0,0495;0,0313;0,0258;0,0486;0,0311;0,0238;0,3455;0,1138;0,1579;88;29;40
214;5R;2;8;0,5143;0,28;3,126;0,0574;0,0313;0,023;0,0566;0,0311;0,0211;0,3887;0,0543;0,1479;99;14;38
218;7.5R;2;2;0,3751;0,3181;3,126;0,0369;0,0313;0,0301;0,036;0,0312;0,0277;0,2595;0,1714;0,1717;66;44;44
219;7.5R;2;4;0,4335;0,3169;3,126;0,0428;0,0313;0,0246;0,042;0,0312;0,0227;0,3069;0,1466;0,1513;78;37;39
220;7.5R;2;6;0,4875;0,3123;3,126;0,0488;0,0313;0,02;0,048;0,0312;0,0184;0,3467;0,1161;0,1323;88;30;34
221;7.5R;2;8;0,5433;0,3027;3,126;0,0561;0,0313;0,0159;0,0554;0,0311;0,0146;0,3876;0,0642;0,1131;99;16;29
225;10R;2;2;0,3811;0,3274;3,126;0,0364;0,0313;0,0278;0,0355;0,0313;0,0256;0,2586;0,1728;0,1628;66;44;42
226;10R;2;4;0,4481;0,333;3,126;0,0421;0,0313;0,0205;0,0413;0,0312;0,0189;0,3064;0,1489;0,1329;78;38;34
227;10R;2;6;0,5095;0,3331;3,126;0,0478;0,0313;0,0148;0,0471;0,0312;0,0136;0,3457;0,1202;0,1037;88;31;26
228;10R;2;8;0,5713;0,3259;3,126;0,0548;0,0313;0,0099;0,0542;0,0312;0,009;0,3857;0,0734;0,072;98;19;18
232;2.5YR;2;2;0,3852;0,3365;3,126;0,0358;0,0313;0,0259;0,035;0,0313;0,0238;0,2562;0,1747;0,1547;65;45;39
